date,USSR,United States,United Kingdom,France,Japan,European Collaboration,Germany,China,Italy,India,Israel,Russia,Brazil,North Korea,Iran,South Korea,Taiwan,Australia
Q4'1970,31,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1971,15,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Q2'1971,27,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q3'1971,22,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1971,27,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1972,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1972,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1972,19,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1972,22,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1973,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1973,23,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1973,19,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q4'1973,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1974,11,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Q2'1974,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1974,20,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q4'1974,25,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q1'1975,17,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1975,28,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1975,25,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Q4'1975,23,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Q1'1976,21,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1976,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1976,28,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q4'1976,29,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Q1'1977,18,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1977,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1977,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1977,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1978,24,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Q2'1978,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1978,16,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1978,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1979,22,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1979,28,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1979,21,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q4'1979,18,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1980,17,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1980,28,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1980,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1980,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1981,28,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1981,22,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1981,31,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Q4'1981,19,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1982,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1982,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1982,28,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Q4'1982,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1983,20,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1983,29,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1983,28,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Q4'1983,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1984,23,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Q2'1984,31,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q3'1984,28,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Q4'1984,14,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1985,21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1985,24,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1985,28,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1985,28,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q1'1986,21,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Q2'1986,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1986,22,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1986,28,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q1'1987,25,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Q2'1987,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1987,24,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Q4'1987,24,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1988,23,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Q2'1988,23,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1988,27,4,0,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0
Q4'1988,21,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q1'1989,19,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1989,19,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1989,23,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1989,13,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1'1990,16,6,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0
Q2'1990,21,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q3'1990,23,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Q4'1990,19,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q1'1991,20,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2'1991,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3'1991,15,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4'1991,12,4,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Q1'1992,0,5,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0
Q2'1992,0,7,0,1,0,0,0,0,0,1,0,11,0,0,0,0,0,0
Q3'1992,0,10,0,3,0,0,0,3,0,0,0,13,0,0,0,0,0,0
Q4'1992,0,7,0,2,0,0,0,1,0,0,0,22,0,0,0,0,0,0
Q1'1993,0,5,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0
Q2'1993,0,7,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Q3'1993,0,7,0,2,0,0,0,0,0,1,0,12,0,0,0,0,0,0
Q4'1993,0,6,0,3,0,0,0,1,0,0,0,8,0,0,0,0,0,0
Q1'1994,0,8,0,1,1,0,0,1,0,0,0,9,0,0,0,0,0,0
Q2'1994,0,6,0,1,0,0,0,0,0,1,0,10,0,0,0,0,0,0
Q3'1994,0,7,0,3,1,0,0,3,0,0,0,13,0,0,0,0,0,0
Q4'1994,0,7,0,3,0,0,0,1,0,1,0,16,0,0,0,0,0,0
Q1'1995,0,6,0,1,2,0,0,1,0,0,0,9,0,0,0,0,0,0
Q2'1995,0,6,0,3,0,0,0,0,0,0,1,6,0,0,0,0,0,0
Q3'1995,0,7,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Q4'1995,0,11,0,3,0,0,0,2,0,0,0,8,0,0,0,0,0,0
Q1'1996,0,9,0,3,0,0,0,1,0,1,0,6,0,0,0,0,0,0
Q2'1996,0,9,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Q3'1996,0,7,0,3,1,0,0,3,0,0,0,8,0,0,0,0,0,0
Q4'1996,0,8,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Q1'1997,1,7,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Q2'1997,0,6,0,3,0,0,0,2,0,0,0,9,0,0,0,0,0,0
Q3'1997,0,13,0,3,0,0,0,2,0,1,0,8,0,0,0,0,0,0
Q4'1997,4,12,0,4,1,0,0,2,0,0,0,5,1,0,0,0,0,0
Q1'1998,0,11,0,3,1,0,0,1,0,0,1,3,0,0,0,0,0,0
Q2'1998,2,8,0,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0
Q3'1998,0,6,0,2,1,0,0,2,0,0,0,7,0,1,0,0,0,0
Q4'1998,0,11,0,5,0,0,0,1,0,0,0,6,0,0,0,0,0,0
Q1'1999,0,5,0,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0
Q2'1999,0,12,0,0,0,0,0,2,0,1,0,6,0,0,0,0,0,0
Q3'1999,3,7,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Q4'1999,0,7,0,5,1,1,0,2,0,0,0,5,1,0,0,0,0,0
Q1'2000,0,6,0,3,1,1,0,1,0,0,0,7,0,0,0,0,0,0
Q2'2000,0,7,0,1,0,0,1,1,0,0,0,8,0,0,0,0,0,0
Q3'2000,0,7,0,3,0,1,0,1,0,0,0,11,0,0,0,0,0,0
Q4'2000,2,7,0,5,0,1,0,3,0,0,0,7,0,0,0,0,0,0
Q1'2001,0,5,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0
Q2'2001,1,5,0,2,0,1,0,0,0,1,0,5,0,0,0,0,0,0
Q3'2001,0,8,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0
Q4'2001,0,5,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0
Q1'2002,0,5,0,4,1,0,1,1,0,0,0,4,0,0,0,0,0,0
Q2'2002,0,5,0,3,0,1,1,1,0,0,1,5,0,0,0,0,0,0
Q3'2002,0,4,0,2,1,0,0,1,0,1,0,5,0,0,0,0,0,0
Q4'2002,0,4,0,2,1,0,0,2,0,0,0,9,0,0,0,0,0,0
Q1'2003,0,6,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Q2'2003,0,7,0,2,1,1,1,1,0,1,0,7,0,0,0,0,0,0
Q3'2003,0,5,0,1,0,2,0,1,0,0,0,4,0,0,0,0,0,0
Q4'2003,0,4,0,0,1,1,1,5,0,1,0,6,0,0,0,0,0,0
Q1'2004,0,5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Q2'2004,0,5,0,0,0,2,0,1,0,0,0,7,0,0,0,0,0,0
Q3'2004,0,2,0,1,0,0,0,4,0,1,1,7,0,0,0,0,0,0
Q4'2004,0,5,0,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0
Q1'2005,0,3,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0
Q2'2005,0,3,0,0,0,2,0,3,0,1,0,7,0,0,0,0,0,0
Q3'2005,0,4,0,1,1,0,0,2,0,0,0,7,0,0,0,0,0,0
Q4'2005,0,2,0,3,0,1,1,1,0,0,0,7,0,0,0,0,0,0
Q1'2006,0,3,0,1,3,2,0,0,0,0,0,2,0,0,0,0,0,0
Q2'2006,0,7,0,1,0,1,0,1,0,0,0,8,0,0,0,0,0,0
Q3'2006,0,2,0,2,2,1,1,2,0,1,0,6,0,0,0,0,0,0
Q4'2006,0,6,0,1,1,1,0,3,0,1,0,8,0,0,0,0,0,0
Q1'2007,0,3,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0
Q2'2007,0,5,0,1,0,0,0,5,0,1,1,9,0,0,0,0,0,0
Q3'2007,0,4,0,2,1,0,0,2,0,1,0,5,0,0,0,0,0,0
Q4'2007,0,7,0,2,0,1,0,2,0,0,0,10,0,0,0,0,0,0
Q1'2008,0,4,0,1,1,1,0,0,0,1,0,6,0,0,0,0,0,0
Q2'2008,0,5,0,3,0,2,0,3,0,1,0,5,0,0,0,0,0,0
Q3'2008,0,3,0,1,0,2,0,2,0,0,0,8,0,0,1,0,0,0
Q4'2008,0,4,0,1,0,0,0,6,0,1,0,7,0,0,0,0,0,0
Q1'2009,0,5,0,1,1,1,1,0,0,0,0,6,0,0,1,0,0,0
Q2'2009,0,7,0,2,0,2,0,2,0,1,0,5,0,1,0,0,0,0
Q3'2009,0,7,0,2,1,0,0,1,0,1,0,8,0,0,0,1,0,0
Q4'2009,0,6,0,2,1,1,1,4,0,0,0,7,0,0,0,0,0,0
Q1'2010,0,5,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
Q2'2010,0,8,0,2,1,0,1,2,0,1,1,8,0,0,0,1,0,0
Q3'2010,0,3,0,1,1,0,0,6,0,1,0,4,0,0,0,0,0,0
Q4'2010,0,11,0,4,0,0,0,5,0,1,0,5,0,0,0,0,0,0
Q1'2011,0,6,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0
Q2'2011,0,18,0,2,0,0,0,3,0,1,0,5,0,0,1,0,0,0
Q3'2011,0,8,0,3,1,1,0,8,0,1,0,6,0,0,0,0,0,0
Q4'2011,0,4,0,3,1,1,0,10,0,1,0,8,0,0,0,0,0,0
Q1'2012,0,5,0,2,0,0,0,3,0,0,0,2,0,0,1,0,0,0
Q2'2012,0,9,0,2,1,1,0,6,0,1,0,3,0,1,1,0,0,0
Q3'2012,0,8,0,3,1,1,0,3,0,1,0,5,0,0,1,0,0,0
Q4'2012,0,6,0,4,0,1,0,6,0,0,0,6,0,1,0,0,0,0
Q1'2013,0,6,0,2,1,1,0,0,0,1,0,2,0,0,0,1,0,0
Q2'2013,0,9,0,3,0,0,0,3,0,1,0,7,0,0,0,0,0,0
Q3'2013,0,12,0,2,2,1,0,6,0,0,0,5,0,0,0,0,0,0
Q4'2013,0,6,0,1,0,0,1,6,0,2,0,7,0,0,0,0,0,0
Q1'2014,0,8,0,3,1,0,0,1,0,0,0,4,0,0,0,0,0,0
Q2'2014,0,5,0,1,1,1,0,0,0,2,1,9,0,0,0,0,0,0
Q3'2014,0,12,0,4,1,0,0,5,0,0,0,7,0,0,0,0,0,0
Q4'2014,0,8,0,3,1,0,0,10,0,1,0,10,0,0,0,0,0,0
Q1'2015,0,8,0,2,2,0,0,1,0,1,0,6,0,0,1,0,0,0
Q2'2015,0,5,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0
Q3'2015,0,4,0,4,1,0,0,7,0,3,0,5,0,0,0,0,0,0
Q4'2015,0,8,0,3,1,0,0,11,0,1,0,7,0,0,0,0,0,0
Q1'2016,0,8,0,2,1,0,1,2,0,2,0,6,0,1,0,0,0,0
Q2'2016,0,8,0,3,0,0,0,6,0,2,0,4,0,0,0,0,0,0
Q3'2016,0,8,0,3,0,0,0,5,0,2,1,1,0,0,0,0,0,0
Q4'2016,0,11,0,3,3,0,0,9,0,1,0,3,0,0,0,0,0,0
Q1'2017,0,8,0,3,3,0,0,3,0,1,0,1,0,0,0,0,0,0
Q2'2017,0,10,0,4,1,0,0,4,0,3,0,4,0,0,0,0,0,0
Q3'2017,0,11,0,2,3,0,0,2,0,1,0,5,0,0,1,0,0,0
Q4'2017,0,10,0,2,1,1,1,8,0,0,0,4,0,0,0,0,0,0
Q1'2018,0,11,0,2,3,0,0,10,0,2,0,4,0,0,0,0,0,0
Q2'2018,0,11,0,1,2,0,1,10,0,1,0,4,0,0,0,0,0,0
Q3'2018,0,10,0,3,1,0,0,6,0,1,0,0,0,0,0,0,0,0
Q4'2018,0,9,0,5,1,0,0,14,0,3,0,8,0,0,0,0,0,0
Q1'2019,0,9,0,3,1,0,0,4,0,2,0,2,0,0,2,0,0,0
Q2'2019,0,11,0,2,1,0,0,6,0,1,0,3,0,0,0,0,0,0
Q3'2019,0,7,0,2,2,0,0,10,0,1,0,11,0,0,0,0,0,0
Q4'2019,0,12,0,2,0,0,0,14,0,2,0,5,0,0,0,0,0,0
Q2'2020,0,10,0,0,2,0,0,8,0,0,0,2,0,0,1,0,0,0
Q3'2020,0,13,0,2,1,0,0,13,0,0,1,3,0,0,0,0,0,0
Q4'2020,0,20,0,4,1,0,0,10,0,2,0,4,0,0,0,0,0,0
Q1'2021,0,17,0,1,0,0,0,8,0,1,0,4,0,0,0,0,0,0
Q2'2021,0,19,0,4,0,0,0,11,0,0,0,3,0,0,1,0,0,0
Q3'2021,0,11,0,4,2,0,0,17,0,1,0,3,0,0,0,0,1,0
Q4'2021,0,16,0,6,3,0,0,19,0,0,0,6,0,0,1,1,0,0
Q1'2022,0,19,0,1,0,0,0,8,0,1,0,4,0,0,1,0,0,0
Q2'2022,0,22,0,1,0,0,0,14,0,1,0,4,0,0,0,1,0,1
Q3'2022,0,38,0,2,1,0,0,2,0,3,0,6,0,0,0,0,0,2
