Country_Name,ISO_A3,sqr_Km
St. Vincent and the Grenadines,VCT,390
Virgin Islands (U.S.),VIR,350
Grenada,GRD,340
Malta,MLT,320
Maldives,MDV,300
Cayman Islands,CYM,260
St. Kitts and Nevis,KNA,260
American Samoa,ASM,200
Channel Islands,CHI,198
Aruba,ABW,180
Marshall Islands,MHL,180
Liechtenstein,LIE,160
British Virgin Islands,VGB,150
San Marino,SMR,60
St. Martin (French part),MAF,53
Sint Maarten (Dutch part),SXM,37
"Macao SAR, China",MAC,30
Tuvalu,TUV,30
Nauru,NRU,20
Gibraltar,GIB,10
