CountryName,ISO_A3,sqrKm.
Grenada,GRD,340
Guam,GUM,540
Guatemala,GTM,108890
Guinea,GIN,245860
Guinea-Bissau,GNB,36130
Guyana,GUY,214970
Haiti,HTI,27750
Honduras,HND,112490
"Hong Kong SAR, China",HKG,1110
Hungary,HUN,93030
Iceland,ISL,103000
India,IND,3287259
Indonesia,IDN,1913580
"Iran, Islamic Rep.",IRN,1745150
Iraq,IRQ,435052
Ireland,IRL,70280
Isle of Man,IMN,570
Israel,ISR,22070
Italy,ITA,301340
Jamaica,JAM,10990
Japan,JPN,377970
Jordan,JOR,89320
Kazakhstan,KAZ,2724902
Kenya,KEN,580370
Kiribati,KIR,810
"Korea, Dem. People’s Rep.",PRK,120540
"Korea, Rep.",KOR,100339
Kosovo,XKX,10908
Kuwait,KWT,17820
Kyrgyz Republic,KGZ,199950
Lao PDR,LAO,236800
Latvia,LVA,64490
Lebanon,LBN,10450
Lesotho,LSO,30360
Liberia,LBR,111370
Libya,LBY,1759540
Liechtenstein,LIE,160
Lithuania,LTU,65286
Luxembourg,LUX,2590
"Macao SAR, China",MAC,30
Madagascar,MDG,587295
Malawi,MWI,118480
Malaysia,MYS,330345
Maldives,MDV,300
Mali,MLI,1240190
Malta,MLT,320
Marshall Islands,MHL,180
Mauritania,MRT,1030700
Mauritius,MUS,2040
Mexico,MEX,1964375
"Micronesia, Fed. Sts.",FSM,700
Moldova,MDA,33850
Monaco,MCO,2020
Mongolia,MNG,1564120
Montenegro,MNE,13810
Morocco,MAR,446550
Mozambique,MOZ,786380
Myanmar,MMR,676590
Namibia,NAM,824290
Nauru,NRU,20
Nepal,NPL,147180
Netherlands,NLD,41540
New Caledonia,NCL,18580
New Zealand,NZL,267710
Nicaragua,NIC,130370
Niger,NER,1267000
Nigeria,NGA,923770
North Macedonia,MKD,25710
Northern Mariana Islands,MNP,460
Norway,NOR,625217
Oman,OMN,309500
Pacific island small states,PSS,65150
Pakistan,PAK,796100
Palau,PLW,460
Panama,PAN,75420
Papua New Guinea,PNG,462840
Paraguay,PRY,406752
Peru,PER,1285220
Philippines,PHL,300000
Poland,POL,312680
Portugal,PRT,92226
Puerto Rico,PRI,8870
Qatar,QAT,11610
Romania,ROU,238400
Russian Federation,RUS,17098250
Rwanda,RWA,26340
Samoa,WSM,2840
San Marino,SMR,60
Sao Tome and Principe,STP,960
Saudi Arabia,SAU,2149690
Senegal,SEN,196710
Serbia,SRB,88360
Seychelles,SYC,460
Sierra Leone,SLE,72300
Singapore,SGP,719
Sint Maarten (Dutch part),SXM,37
Slovak Republic,SVK,49030
Slovenia,SVN,20675
Solomon Islands,SLB,28900
Somalia,SOM,637660
South Africa,ZAF,1219090
South Sudan,SSD,619745
Spain,ESP,505935
Sri Lanka,LKA,65610
St. Kitts and Nevis,KNA,260
St. Lucia,LCA,620
St. Martin (French part),MAF,53
St. Vincent and the Grenadines,VCT,390
Sudan,SDN,1886068
Suriname,SUR,163820
Sweden,SWE,447430
Switzerland,CHE,41290
Syrian Arab Republic,SYR,185180
Tajikistan,TJK,141380
Tanzania,TZA,947300
Thailand,THA,513120
Timor-Leste,TLS,14870
Togo,TGO,56790
Tonga,TON,750
Trinidad and Tobago,TTO,5130
Tunisia,TUN,163610
Turkey,TUR,785350
Turkmenistan,TKM,488100
Turks and Caicos Islands,TCA,950
Tuvalu,TUV,30
Uganda,UGA,241550
Ukraine,UKR,603550
United Arab Emirates,ARE,83600
United Kingdom,GBR,243610
United States,USA,9831510
Uruguay,URY,176220
Uzbekistan,UZB,447400
Vanuatu,VUT,12190
"Venezuela, RB",VEN,912050
Vietnam,VNM,331230
Virgin Islands (U.S.),VIR,350
West Bank and Gaza,PSE,6020
"Yemen, Rep.",YEM,527970
Zambia,ZMB,752610
Zimbabwe,ZWE,390760
